时间,数值
2025-07-27 15:15:19.346,2925.0
2025-07-27 15:15:19.346,2945.0
2025-07-27 15:15:19.346,3020.0
2025-07-27 15:15:19.347,2810.0
2025-07-27 15:15:19.348,2755.0
2025-07-27 15:15:19.348,3025.0
2025-07-27 15:15:19.366,3035.0
2025-07-27 15:15:19.368,2845.0
2025-07-27 15:15:19.369,2795.0
2025-07-27 15:15:19.370,3065.0
2025-07-27 15:15:19.370,3080.0
2025-07-27 15:15:19.371,2840.0
2025-07-27 15:15:19.401,3030.0
2025-07-27 15:15:19.401,2950.0
2025-07-27 15:15:19.402,2975.0
2025-07-27 15:15:19.404,2735.0
2025-07-27 15:15:19.405,2850.0
2025-07-27 15:15:19.434,3015.0
2025-07-27 15:15:19.435,3140.0
2025-07-27 15:15:19.437,2865.0
2025-07-27 15:15:19.437,2885.0
2025-07-27 15:15:19.438,2975.0
2025-07-27 15:15:19.468,3020.0
2025-07-27 15:15:19.469,2860.0
2025-07-27 15:15:19.470,2980.0
2025-07-27 15:15:19.470,3025.0
2025-07-27 15:15:19.471,2940.0
2025-07-27 15:15:19.472,2725.0
2025-07-27 15:15:19.502,2685.0
2025-07-27 15:15:19.502,3015.0
2025-07-27 15:15:19.503,3240.0
2025-07-27 15:15:19.505,2890.0
2025-07-27 15:15:19.505,2975.0
2025-07-27 15:15:19.536,3035.0
2025-07-27 15:15:19.536,3030.0
2025-07-27 15:15:19.538,2825.0
2025-07-27 15:15:19.539,2770.0
2025-07-27 15:15:19.539,3020.0
2025-07-27 15:15:19.569,3020.0
2025-07-27 15:15:19.570,2845.0
2025-07-27 15:15:19.571,2970.0
2025-07-27 15:15:19.572,3030.0
2025-07-27 15:15:19.572,3100.0
2025-07-27 15:15:19.573,2835.0
2025-07-27 15:15:19.603,3005.0
2025-07-27 15:15:19.604,2930.0
2025-07-27 15:15:19.606,3000.0
2025-07-27 15:15:19.606,2745.0
2025-07-27 15:15:19.607,2820.0
2025-07-27 15:15:19.637,2985.0
2025-07-27 15:15:19.638,3065.0
2025-07-27 15:15:19.639,2850.0
2025-07-27 15:15:19.640,2805.0
2025-07-27 15:15:19.641,3000.0
2025-07-27 15:15:19.671,3040.0
2025-07-27 15:15:19.672,2875.0
2025-07-27 15:15:19.672,2805.0
2025-07-27 15:15:19.673,3065.0
2025-07-27 15:15:19.673,3055.0
2025-07-27 15:15:19.676,2835.0
2025-07-27 15:15:19.705,3000.0
2025-07-27 15:15:19.707,2945.0
2025-07-27 15:15:19.707,2990.0
2025-07-27 15:15:19.708,2760.0
2025-07-27 15:15:19.708,2870.0
2025-07-27 15:15:19.739,3055.0
2025-07-27 15:15:19.740,3140.0
2025-07-27 15:15:19.741,2905.0
2025-07-27 15:15:19.741,2920.0
2025-07-27 15:15:19.742,2955.0
2025-07-27 15:15:19.773,2885.0
2025-07-27 15:15:19.774,2785.0
